date,time,people,building,floor,weight (kg),num_contam,plastic,metal,glass,Other,NOTES,POSTER,SIGNAGE,item_per_kilo
March 6,5:00pm-6:30pm,Shannon and Caroline,Braeburn,14,1.05,6,6,0,0,,,"A,B",1,5.714285714
March 6,5:00pm-6:30pm,Shannon and Caroline,Braeburn,13,0,1,1,0,0,,,"A,B",1,0
March 6,5:00pm-6:30pm,Shannon and Caroline,Braeburn,12,0.35,2,2,0,0,,,"A,B",1,5.714285714
March 6,5:00pm-6:30pm,Shannon and Caroline,Braeburn,11,0.55,0,0,0,0,,,"A,C",1,0
March 6,5:00pm-6:30pm,Shannon and Caroline,Braeburn,10,0.5,0,0,0,0,,,"A,C",1,0
March 6,5:00pm-6:30pm,Shannon and Caroline,Braeburn,9,0.5,1,1,0,0,,,"A,C",1,2
March 6,5:00pm-6:30pm,Shannon and Caroline,Braeburn,8,0,0,0,0,0,,,"A,C,D",1,0
March 6,5:00pm-6:30pm,Shannon and Caroline,Braeburn,7,0,0,0,0,0,,,"A,B",1,0
March 6,5:00pm-6:30pm,Shannon and Caroline,Braeburn,6,0.2,2,2,0,0,,,"A,C",1,10
March 6,5:00pm-6:30pm,Shannon and Caroline,Braeburn,5,0.25,0,0,0,0,,,"A,C",1,0
March 6,5:00pm-6:30pm,Shannon and Caroline,Braeburn,4,0.6,0,0,0,0,,,"A,C",1,0
March 6,5:00pm-6:30pm,Shannon and Caroline,Braeburn,3,0.25,0,0,0,0,,,A,1,0
March 7,5:00pm-6:30pm,Ece and Meher,Bartlett,20,0,0,0,0,0,,,A,2,0
March 7,5:00pm-6:30pm,Ece and Meher,Bartlett,19,0.4,1,1,0,0,,,"A,B",2,2.5
March 7,5:00pm-6:30pm,Ece and Meher,Bartlett,18,0,0,0,0,0,,,A,2,0
March 7,5:00pm-6:30pm,Ece and Meher,Bartlett,17,0.1,0,0,0,0,,,A,2,0
March 7,5:00pm-6:30pm,Ece and Meher,Bartlett,16,0.25,0,0,0,0,,,E,2,0
March 7,5:00pm-6:30pm,Ece and Meher,Bartlett,15,0.25,0,0,0,0,,,A,1,0
March 7,5:00pm-6:30pm,Ece and Meher,Bartlett,14,0.9,0,0,0,0,,,A,1,0
March 7,5:00pm-6:30pm,Ece and Meher,Bartlett,13,0.25,24,0,0,0,"wrapper, chips etc.",Consider removing as garbage lid was on compost bin.,A,1,96
March 7,5:00pm-6:30pm,Ece and Meher,Bartlett,12,0.6,0,0,0,0,,,A,1,0
March 7,5:00pm-6:30pm,Ece and Meher,Bartlett,11,0,0,0,0,0,,,A,1,0
March 7,5:00pm-6:30pm,Ece and Meher,Bartlett,10,0.55,2,1,1,0,,,A,1,3.636363636
March 7,5:00pm-6:30pm,Ece and Meher,Bartlett,9,0.3,2,1,0,0,,,A,1,6.666666667
March 7,5:00pm-6:30pm,Ece and Meher,Bartlett,8,0.25,0,0,0,0,,,A,1,0
